time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.574805888559314e-07,2.9543760519909393e-07,10.000429213454195,0.0003113561162031431,0.0005859984109344296,0.0,-5.250180586909212e-05,2.5200512066675343e-05,0.014306869361213134,0.01394719333418053,0.02435649949400168,0.0,408.0515164620745,410.21959487605136,407.859948169283,409.1034042284857
0.12000000000000001,-1.973377487044668e-05,1.036603124883443e-05,10.002157175660574,0.0009107325594870375,0.0021193911876231653,0.0,-0.0007204692884520008,0.0003775482830905559,0.043290707292436316,0.0005869394291588594,0.027854355579260668,0.0,414.0335536039969,414.34129568575304,413.91447737903485,412.73714619694147
0.18,-0.0001206173685227676,5.506937744016063e-05,10.010857071635778,0.0004568229079486841,0.0037178908950590284,0.0,-0.0028342181585999616,0.0010994224643713292,0.24668271767307937,-0.033620694974238384,0.024099112609988656,0.0,469.17562677857455,468.88414743194693,469.43433018171766,466.77289219628517
0.23999999999999996,-0.0003752950439429054,0.00012302720212086627,10.02925250350999,6.281841051940971,0.005024562913370723,0.0,-0.0057998271043486595,0.0009663575916587241,0.36646620608903363,-0.023643276061791448,0.016676783002146624,0.0,443.4791020742457,442.8691395287364,442.8470391410604,443.6665333742009
0.3,-0.0008256707779750053,0.000149683897849586,10.053250858266289,6.280701992120136,0.0057783205629204915,0.0,-0.009299352116248551,-0.00020066903891076334,0.43345473557636177,-0.010999380278382959,0.0027085485379581744,0.0,428.11324343744076,426.92317028128156,424.8480348160794,425.9305847444316
0.36000000000000004,-0.0014919864861937856,8.932248750491228e-05,10.080219808723868,6.280256383966009,0.006161762211869259,0.0,-0.012937000550808174,-0.0018614191379613524,0.46549719731441347,-0.0010984266413825152,0.012891164645346433,0.0,413.9899962831574,414.88476225067666,415.1064651213759,415.97436002491156
0.4200000000000001,-0.0024172230764516254,-9.142141882531573e-05,10.113938076212264,6.280015562819413,0.007689310986302544,0.0,-0.01804558962026236,-0.004179987210862591,0.6583524091277034,-0.010596316600070297,0.04302556789954276,0.0,464.8167644030625,467.17208950346594,465.7595798549093,465.0163512894397
0.48000000000000015,-0.003666896173304984,-0.00040952333626856965,10.156230038190943,6.279093748574187,0.010011243711448792,0.0,-0.0238591153770812,-0.006499528485448472,0.7513202246432767,-0.02719287458862448,0.02822165727781213,0.0,435.8349200815075,434.5967885525821,435.7478008489055,434.35843940642553
0.5400000000000001,-0.005348799593303039,-0.0009057603586291917,10.207881344689435,6.277634054969976,0.011854678995088186,0.0,-0.03241471801822779,-0.010225215751328239,0.9702266093822263,-0.019139993300340812,0.03530902870011356,0.0,474.0358054416513,474.58028986168387,472.86931352591085,473.48911248772356
0.6000000000000002,-0.007518820540175667,-0.0016252862546389509,10.266823945371032,6.276438048923037,0.013756760523293998,0.0,-0.04010272260392149,-0.01386523386447514,0.9945026937044491,-0.02156935128530573,0.023282177212698894,0.0,413.604651409383,412.54463313552145,413.36692711252755,413.15281318852607
0.6600000000000003,-0.010249613653657536,-0.0026190909999354996,10.331992487614711,6.274977718895084,0.01475363589856471,0.0,-0.05106433852420487,-0.019417039779295178,1.1776078549449616,-0.030549009957734744,-0.0020805096262377,0.0,464.6964634002242,462.70423170773904,463.7553712408547,463.049524359709
0.7200000000000003,-0.013644952888337234,-0.003976336633555882,10.407470820832426,6.272851592018313,0.014857670484391683,0.0,-0.062111056520428025,-0.02603994273762436,1.3381600954307777,-0.04763985921117505,0.008440798844088087,0.0,456.46325939209396,457.3019948698399,458.0472487198106,456.6856280867045
0.7800000000000004,-0.01769481743602031,-0.005773391812459732,10.491715371806869,6.270132482941779,0.015267326936952763,0.0,-0.0729312707713361,-0.0341572801114956,1.4698269049028672,-0.04104008433528857,0.003388390963446457,0.0,448.88519948722217,448.47494622744347,448.34824460499914,448.8828975056004
0.8400000000000004,-0.022437201795560375,-0.008144505792822797,10.586094390909357,6.2680479684201025,0.016297823918922205,0.0,-0.08522705831497153,-0.04514093617085433,1.6758558890074715,-0.02444340796929739,0.03592531506095297,0.0,470.7010089179853,473.2120131793782,470.35338837477036,471.6363614469005
0.9000000000000005,-0.02787220179610259,-0.011148129603835268,10.688174598929919,6.267048285245455,0.019109300510118388,0.0,-0.09617941673145657,-0.055092330828454134,1.7267353624584059,-0.004434550478458861,0.06273015446215204,0.0,422.8988056887982,425.20255320115507,422.8770466089928,424.59701321005645
0.9600000000000005,-0.03412099458661791,-0.014844336467350939,10.798246176513445,6.266513044096808,0.022576875812698738,0.0,-0.11254046365691646,-0.06815431559598592,1.9419660609434386,-0.019881474017101768,0.045428692311347045,0.0,474.7822363657762,473.4550851296528,476.38854580059785,475.20614197344634
1.0200000000000005,-0.041346952635553186,-0.019279497190985703,10.917591459932186,6.264823262727312,0.025624965399105193,0.0,-0.12861491429248043,-0.07981692675387275,2.036036347443616,-0.054998219980621314,0.05981819721699914,0.0,438.76735075801463,439.96192588238625,439.6845599545443,436.7652270744104
1.0800000000000005,-0.049516730276156815,-0.024395278147268502,11.039308289806996,6.261261821002474,0.02908029006525048,0.0,-0.1440117374462602,-0.09099953668571374,2.0212021605700823,-0.06992889380877669,0.05271091046653263,0.0,403.03110276292836,402.3909016072267,404.3114872553724,402.96114166915845
